Country,2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote
Italy,6.68 ,5.45 , 7.40,"Children estimates were not available at the time of publication.",6.26 ,5.10 , 6.97,"Children estimates were not available at the time of publication.",5.90 ,4.79 , 6.60,"Children estimates were not available at the time of publication.",5.60 ,4.53 , 6.31,"Children estimates were not available at the time of publication.",5.31 ,4.25 , 6.01,"Children estimates were not available at the time of publication.",5.04 ,4.02 , 5.73,"Children estimates were not available at the time of publication.",4.78 ,3.78 , 5.42,"Children estimates were not available at the time of publication.",4.56 ,3.60 , 5.23,"Children estimates were not available at the time of publication.",4.35 ,3.42 , 4.99,"Children estimates were not available at the time of publication.",4.14 ,3.25 , 4.79,"Children estimates were not available at the time of publication.",3.94 ,3.08 , 4.61,"Children estimates were not available at the time of publication.",3.74 ,2.91 , 4.41,"Children estimates were not available at the time of publication.",3.55 ,2.75 , 4.21,"Children estimates were not available at the time of publication.",3.35 ,2.57 , 4.02,"Children estimates were not available at the time of publication.",3.17 ,2.42 , 3.86,"Children estimates were not available at the time of publication.",3.01 ,2.27 , 3.68,"Children estimates were not available at the time of publication.",2.86 ,2.13 , 3.54,"Children estimates were not available at the time of publication.",2.69 ,2.00 , 3.41,"Children estimates were not available at the time of publication.",2.39 ,1.74 , 3.09,"Children estimates were not available at the time of publication.",2.09 ,1.50 , 2.79,"Children estimates were not available at the time of publication.",1.82 ,1.29 , 2.51,"Children estimates were not available at the time of publication.",1.63 ,1.18 , 2.07,"Children estimates were not available at the time of publication.",1.48 ,1.07 , 1.86,"Children estimates were not available at the time of publication."
Jamaica,9.46 ,8.92 , 10.36,,9.08 ,8.56 , 9.96,,9.16 ,8.63 , 10.07,,9.12 ,8.61 , 10.06,,9.03 ,8.51 , 10.00,,8.55 ,8.02 , 9.55,,7.85 ,7.22 , 8.88,,7.62 ,6.96 , 8.64,,7.25 ,6.56 , 8.31,,6.93 ,6.26 , 7.95,,6.58 ,5.90 , 7.63,,6.53 ,5.79 , 7.63,,6.40 ,5.63 , 7.47,,5.93 ,5.19 , 6.94,,5.57 ,4.83 , 6.56,,5.28 ,4.54 , 6.35,,5.08 ,4.32 , 6.11,,5.09 ,4.34 , 6.16,,5.30 ,4.48 , 6.45,,4.97 ,4.30 , 5.98,,5.18 ,4.43 , 6.29,,5.36 ,4.35 , 6.68,,4.83 ,3.94 , 6.00,
Japan,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Jordan,12.24 ,10.20 , 13.61,,12.03 ,10.13 , 13.29,,11.24 ,9.47 , 12.43,,11.17 ,9.50 , 12.29,,10.47 ,8.90 , 12.04,,9.85 ,8.37 , 11.33,,9.36 ,7.66 , 10.21,,9.64 ,8.03 , 10.84,,9.06 ,7.55 , 10.19,,8.96 ,7.53 , 10.39,,9.12 ,7.43 , 10.14,,8.60 ,7.01 , 9.55,,8.62 ,7.38 , 9.85,,7.53 ,6.18 , 8.60,,7.55 ,6.37 , 8.49,,7.69 ,6.41 , 8.76,,7.72 ,6.50 , 8.94,,7.53 ,6.37 , 8.69,,7.35 ,6.25 , 8.64,,7.16 ,6.11 , 8.38,,7.14 ,5.98 , 8.31,,7.00 ,5.88 , 8.11,,6.84 ,5.75 , 8.09,
Kazakhstan,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Kenya,8.25 ,4.99 , 13.47,,7.84 ,4.75 , 12.81,,7.53 ,4.56 , 12.30,,7.25 ,4.39 , 11.85,,7.18 ,4.35 , 11.73,,6.86 ,4.15 , 11.21,,6.55 ,3.96 , 10.69,,6.27 ,3.79 , 10.24,,5.58 ,3.38 , 9.12,,5.50 ,3.33 , 8.98,,5.12 ,3.10 , 8.35,,4.55 ,2.75 , 7.43,,4.39 ,2.66 , 7.16,,4.13 ,2.50 , 6.75,,3.68 ,2.23 , 6.01,,3.06 ,1.86 , 5.01,,2.67 ,1.61 , 4.36,,2.44 ,1.48 , 3.98,,2.10 ,1.27 , 3.44,,2.05 ,1.24 , 3.35,,2.01 ,1.22 , 3.28,,1.85 ,1.12 , 3.03,,1.61 ,0.97 , 2.63,
Kuwait,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Kyrgyzstan,34.62 ,7.69 , 146.15,,89.26 ,44.39 , 124.34,,29.72 ,12.85 , 176.13,,14.22 ,8.36 , 20.97,,28.10 ,20.59 , 35.95,,32.52 ,27.11 , 36.94,,29.96 ,27.02 , 31.67,,27.04 ,25.91 , 28.13,,23.76 ,22.95 , 24.62,,19.67 ,18.75 , 20.49,,16.90 ,16.00 , 17.73,,15.99 ,15.16 , 16.81,,15.02 ,14.24 , 15.78,,13.00 ,12.31 , 13.70,,11.91 ,11.22 , 12.58,,10.81 ,10.16 , 11.41,,10.18 ,9.60 , 10.77,,9.07 ,8.53 , 9.62,,8.51 ,7.98 , 9.03,,8.09 ,7.59 , 8.57,,7.54 ,7.05 , 8.00,,7.24 ,6.78 , 7.70,,6.91 ,6.47 , 7.35,
Lao People's Democratic Republic,28.27 ,25.53 , 31.27,,26.57 ,24.03 , 29.41,,23.34 ,21.03 , 25.73,,20.16 ,18.16 , 22.23,,17.99 ,16.17 , 19.79,,16.46 ,14.78 , 18.09,,15.26 ,13.71 , 16.78,,14.36 ,12.89 , 15.76,,13.17 ,11.77 , 14.38,,12.12 ,10.90 , 13.29,,11.26 ,10.09 , 12.34,,10.43 ,9.30 , 11.43,,9.87 ,8.80 , 10.80,,9.35 ,8.31 , 10.20,,8.85 ,7.89 , 9.65,,8.39 ,7.48 , 9.16,,7.92 ,7.03 , 8.63,,7.55 ,6.72 , 8.24,,7.13 ,6.34 , 7.79,,6.72 ,5.99 , 7.32,,6.31 ,5.65 , 6.87,,6.01 ,5.39 , 6.56,,5.84 ,5.24 , 6.39,
Latvia,17.84 ,15.89 , 20.21,"Children estimates were not available at the time of publication.",13.55 ,12.13 , 15.28,"Children estimates were not available at the time of publication.",11.15 ,10.02 , 12.50,"Children estimates were not available at the time of publication.",9.49 ,8.50 , 10.59,"Children estimates were not available at the time of publication.",8.88 ,7.92 , 9.88,"Children estimates were not available at the time of publication.",9.02 ,8.05 , 10.04,"Children estimates were not available at the time of publication.",9.10 ,8.17 , 10.17,"Children estimates were not available at the time of publication.",9.03 ,8.06 , 9.95,"Children estimates were not available at the time of publication.",8.88 ,7.92 , 9.90,"Children estimates were not available at the time of publication.",8.96 ,7.98 , 9.95,"Children estimates were not available at the time of publication.",9.04 ,8.03 , 10.02,"Children estimates were not available at the time of publication.",9.03 ,7.98 , 10.08,"Children estimates were not available at the time of publication.",9.02 ,7.95 , 10.11,"Children estimates were not available at the time of publication.",8.94 ,7.79 , 10.10,"Children estimates were not available at the time of publication.",8.92 ,7.64 , 10.20,"Children estimates were not available at the time of publication.",8.69 ,7.33 , 10.02,"Children estimates were not available at the time of publication.",8.24 ,6.82 , 9.58,"Children estimates were not available at the time of publication.",7.00 ,5.67 , 8.28,"Children estimates were not available at the time of publication.",6.30 ,4.98 , 7.57,"Children estimates were not available at the time of publication.",5.60 ,4.34 , 6.82,"Children estimates were not available at the time of publication.",5.12 ,3.89 , 6.38,"Children estimates were not available at the time of publication.",4.86 ,3.62 , 6.19,"Children estimates were not available at the time of publication.",4.66 ,3.42 , 6.09,"Children estimates were not available at the time of publication."
Lebanon,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Lesotho,12.22 ,10.55 , 14.07,,11.27 ,9.96 , 12.95,,10.65 ,9.47 , 12.10,,10.24 ,9.08 , 11.52,,10.06 ,8.89 , 11.38,,9.82 ,8.68 , 11.03,,9.51 ,8.46 , 10.75,,8.70 ,7.62 , 9.96,,8.17 ,7.15 , 9.52,,7.37 ,6.49 , 8.62,,6.55 ,5.76 , 7.64,,6.02 ,5.23 , 7.00,,5.79 ,4.94 , 6.81,,5.71 ,4.84 , 6.59,,5.21 ,4.42 , 6.00,,4.65 ,3.99 , 5.28,,3.97 ,3.40 , 4.48,,3.47 ,2.96 , 3.95,,2.93 ,2.44 , 3.40,,2.73 ,2.28 , 3.22,,2.42 ,2.03 , 2.93,,2.13 ,1.69 , 2.79,,1.76 ,1.28 , 2.43,
Liberia,10.89 ,9.31 , 13.29,,10.06 ,8.77 , 12.09,,9.76 ,8.61 , 11.85,,9.64 ,8.63 , 11.58,,9.02 ,7.97 , 11.03,,8.48 ,7.44 , 10.29,,8.14 ,7.11 , 10.18,,7.95 ,6.81 , 9.98,,7.61 ,6.42 , 9.87,,7.15 ,5.99 , 9.34,,6.55 ,5.41 , 8.71,,6.29 ,5.10 , 8.62,,6.01 ,4.79 , 8.41,,5.94 ,4.65 , 8.27,,5.74 ,4.44 , 8.30,,5.21 ,3.83 , 7.83,,4.96 ,3.48 , 7.64,,4.62 ,3.14 , 7.35,,4.04 ,2.43 , 6.69,,4.59 ,2.61 , 7.47,,4.86 ,2.86 , 8.02,,4.17 ,2.44 , 7.37,,3.75 ,2.11 , 6.99,
Libya,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Lithuania,13.82 ,11.73 , 16.00,"Children estimates were not available at the time of publication.",29.67 ,25.23 , 34.18,"Children estimates were not available at the time of publication.",11.53 ,9.77 , 13.30,"Children estimates were not available at the time of publication.",11.62 ,9.86 , 13.37,"Children estimates were not available at the time of publication.",11.69 ,9.89 , 13.42,"Children estimates were not available at the time of publication.",11.70 ,9.93 , 13.53,"Children estimates were not available at the time of publication.",11.88 ,10.07 , 13.69,"Children estimates were not available at the time of publication.",11.89 ,10.05 , 13.73,"Children estimates were not available at the time of publication.",11.88 ,10.08 , 13.78,"Children estimates were not available at the time of publication.",11.87 ,10.06 , 13.72,"Children estimates were not available at the time of publication.",11.81 ,10.05 , 13.67,"Children estimates were not available at the time of publication.",11.54 ,9.82 , 13.45,"Children estimates were not available at the time of publication.",11.06 ,9.42 , 12.86,"Children estimates were not available at the time of publication.",10.48 ,8.90 , 12.21,"Children estimates were not available at the time of publication.",9.81 ,8.35 , 11.45,"Children estimates were not available at the time of publication.",9.22 ,7.83 , 10.75,"Children estimates were not available at the time of publication.",8.43 ,7.18 , 9.85,"Children estimates were not available at the time of publication.",7.77 ,6.57 , 9.10,"Children estimates were not available at the time of publication.",7.03 ,5.94 , 8.20,"Children estimates were not available at the time of publication.",6.34 ,5.36 , 7.38,"Children estimates were not available at the time of publication.",5.68 ,4.82 , 6.66,"Children estimates were not available at the time of publication.",5.09 ,4.30 , 5.96,"Children estimates were not available at the time of publication.",4.52 ,3.83 , 5.30,"Children estimates were not available at the time of publication."
Luxembourg,6.90 ,5.57 , 7.96,"Children estimates were not available at the time of publication.",6.68 ,5.45 , 7.92,"Children estimates were not available at the time of publication.",6.50 ,5.34 , 7.89,"Children estimates were not available at the time of publication.",6.30 ,5.22 , 7.61,"Children estimates were not available at the time of publication.",6.34 ,5.11 , 7.57,"Children estimates were not available at the time of publication.",6.13 ,4.98 , 7.47,"Children estimates were not available at the time of publication.",6.12 ,5.04 , 7.37,"Children estimates were not available at the time of publication.",6.05 ,4.87 , 7.23,"Children estimates were not available at the time of publication.",5.95 ,4.85 , 7.04,"Children estimates were not available at the time of publication.",5.93 ,4.74 , 7.11,"Children estimates were not available at the time of publication.",5.82 ,4.57 , 6.93,"Children estimates were not available at the time of publication.",5.52 ,4.36 , 6.55,"Children estimates were not available at the time of publication.",5.39 ,4.31 , 6.47,"Children estimates were not available at the time of publication.",5.15 ,4.14 , 6.27,"Children estimates were not available at the time of publication.",5.03 ,3.96 , 6.10,"Children estimates were not available at the time of publication.",4.82 ,3.71 , 5.72,"Children estimates were not available at the time of publication.",4.62 ,3.66 , 5.49,"Children estimates were not available at the time of publication.",4.39 ,3.47 , 5.21,"Children estimates were not available at the time of publication.",4.17 ,3.21 , 4.95,"Children estimates were not available at the time of publication.",3.90 ,2.90 , 4.73,"Children estimates were not available at the time of publication.",3.60 ,2.64 , 4.64,"Children estimates were not available at the time of publication.",3.32 ,2.31 , 4.55,"Children estimates were not available at the time of publication.",3.08 ,1.88 , 4.36,"Children estimates were not available at the time of publication."
Madagascar,30.50 ,19.42 , 51.42,,28.77 ,19.29 , 44.39,,28.07 ,19.47 , 41.21,,26.39 ,19.02 , 36.43,,25.11 ,19.01 , 33.51,,24.51 ,19.34 , 32.13,,23.28 ,18.99 , 29.77,,22.39 ,18.59 , 27.63,,21.80 ,18.43 , 25.97,,21.33 ,18.01 , 25.02,,20.77 ,17.69 , 24.07,,20.09 ,16.92 , 23.38,,19.47 ,16.60 , 22.68,,18.85 ,16.08 , 21.74,,18.30 ,15.66 , 21.05,,17.73 ,15.06 , 20.58,,17.23 ,14.55 , 19.95,,16.40 ,13.68 , 19.36,,15.86 ,12.99 , 19.19,,14.97 ,11.97 , 18.81,,14.52 ,11.20 , 18.93,,13.65 ,9.96 , 18.32,,12.71 ,8.59 , 17.85,
Malawi,10.21 ,9.39 , 11.53,,9.53 ,8.86 , 10.79,,9.08 ,8.44 , 10.32,,8.73 ,8.11 , 9.91,,8.42 ,7.79 , 9.61,,8.09 ,7.47 , 9.21,,7.68 ,7.03 , 8.64,,7.30 ,6.63 , 8.15,,6.96 ,6.19 , 7.57,,6.27 ,5.53 , 7.01,,6.15 ,5.48 , 6.80,,5.75 ,5.11 , 6.38,,5.39 ,4.76 , 6.00,,5.00 ,4.41 , 5.64,,4.64 ,4.14 , 5.16,,4.22 ,3.81 , 4.66,,3.77 ,3.38 , 4.22,,3.19 ,2.83 , 3.63,,2.60 ,2.26 , 3.01,,2.29 ,1.98 , 2.67,,2.05 ,1.70 , 2.45,,1.80 ,1.51 , 2.27,,1.56 ,1.29 , 2.02,
Malaysia,10.87 ,9.44 , 12.25,,10.58 ,9.22 , 11.91,,10.06 ,8.84 , 11.30,,9.63 ,8.53 , 10.80,,9.24 ,8.20 , 10.28,,8.99 ,8.01 , 9.98,,8.80 ,7.86 , 9.70,,8.58 ,7.71 , 9.43,,8.39 ,7.56 , 9.16,,8.14 ,7.38 , 8.92,,7.83 ,7.12 , 8.57,,7.59 ,6.90 , 8.27,,7.37 ,6.70 , 8.01,,7.04 ,6.39 , 7.68,,6.51 ,5.91 , 7.13,,5.96 ,5.37 , 6.51,,5.27 ,4.73 , 5.76,,4.65 ,4.17 , 5.11,,4.35 ,3.90 , 4.78,,4.15 ,3.70 , 4.56,,3.91 ,3.48 , 4.30,,3.74 ,3.33 , 4.12,,3.63 ,3.23 , 4.01,
Maldives,11.11 ,9.15 , 22.22,,11.11 ,9.16 , 22.22,,10.00 ,9.63 , 20.00,,9.09 ,8.91 , 18.18,,9.09 ,9.09 , 18.18,,8.33 ,8.33 , 16.67,,7.69 ,7.69 , 15.38,,7.14 ,7.14 , 14.29,,12.50 ,6.25 , 12.50,,11.11 ,5.56 , 11.11,,10.00 ,10.00 , 10.00,,4.55 ,4.55 , 9.09,,8.33 ,4.17 , 8.33,,7.69 ,3.85 , 7.69,,6.90 ,6.90 , 10.34,,9.38 ,6.25 , 9.38,,8.33 ,5.56 , 11.11,,7.50 ,7.50 , 12.50,,9.09 ,6.82 , 11.36,,8.33 ,6.25 , 12.50,,7.69 ,5.77 , 13.46,,8.93 ,7.14 , 12.50,,8.33 ,6.67 , 13.33,
Mali,10.72 ,9.06 , 13.22,,9.78 ,8.26 , 12.02,,9.63 ,8.03 , 11.82,,9.46 ,8.04 , 11.56,,9.14 ,7.57 , 11.07,,8.77 ,7.19 , 10.70,,8.68 ,7.01 , 10.70,,8.25 ,6.57 , 10.30,,8.28 ,6.40 , 10.47,,7.71 ,5.77 , 9.88,,7.03 ,5.10 , 9.06,,6.77 ,4.73 , 8.94,,6.38 ,4.36 , 8.51,,6.80 ,4.72 , 9.12,,6.68 ,4.62 , 9.07,,6.30 ,4.28 , 8.68,,6.25 ,4.16 , 8.69,,6.15 ,3.98 , 8.72,,5.84 ,3.61 , 8.59,,5.90 ,3.69 , 8.81,,5.49 ,3.35 , 8.23,,5.17 ,3.09 , 8.06,,5.20 ,3.05 , 8.00,
Malta,16.67 ,13.73 , 19.61,,15.70 ,12.40 , 19.01,,14.89 ,11.35 , 17.73,,13.58 ,10.49 , 17.28,,13.04 ,9.78 , 15.76,,12.08 ,9.18 , 14.98,,11.30 ,8.70 , 14.35,,10.98 ,8.24 , 14.12,,10.32 ,7.47 , 13.17,,9.65 ,7.07 , 12.54,,9.04 ,6.71 , 11.95,,8.20 ,6.08 , 11.11,,7.91 ,5.76 , 10.55,,7.39 ,5.43 , 10.00,,7.09 ,5.12 , 9.65,,6.79 ,5.00 , 9.29,,6.50 ,4.83 , 9.00,,6.40 ,4.68 , 8.89,,6.14 ,4.68 , 8.77,,6.04 ,4.53 , 8.64,,5.93 ,4.38 , 8.63,,5.83 ,4.25 , 8.37,,5.63 ,4.13 , 8.27,
Mauritania,15.07 ,12.64 , 17.41,,13.44 ,11.25 , 15.68,,12.25 ,10.38 , 14.22,,11.21 ,9.42 , 12.91,,10.40 ,8.75 , 12.15,,9.39 ,7.83 , 11.07,,8.22 ,6.72 , 9.81,,7.05 ,5.55 , 8.70,,6.31 ,4.90 , 8.17,,5.52 ,4.29 , 7.29,,4.95 ,3.83 , 6.67,,4.72 ,3.52 , 6.47,,4.95 ,3.52 , 7.01,,4.71 ,3.20 , 6.96,,4.26 ,2.58 , 6.76,,4.48 ,2.61 , 7.45,,5.06 ,3.01 , 8.27,,5.29 ,3.11 , 9.08,,5.23 ,3.11 , 9.44,,5.63 ,3.07 , 10.80,,5.93 ,3.30 , 10.24,,6.14 ,3.59 , 10.92,,6.14 ,3.41 , 10.49,
Mauritius,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Mexico,11.79 ,10.67 , 12.69,,11.36 ,10.25 , 12.24,,10.92 ,9.82 , 11.72,,10.48 ,9.40 , 11.28,,10.07 ,9.00 , 10.85,,9.69 ,8.64 , 10.48,,9.31 ,8.28 , 10.04,,8.94 ,7.92 , 9.66,,8.59 ,7.59 , 9.29,,8.27 ,7.31 , 8.99,,8.00 ,7.01 , 8.69,,7.74 ,6.78 , 8.45,,7.48 ,6.54 , 8.17,,7.23 ,6.29 , 7.91,,7.00 ,6.08 , 7.70,,6.77 ,5.86 , 7.44,,6.57 ,5.67 , 7.22,,6.37 ,5.47 , 7.00,,6.18 ,5.29 , 6.80,,5.99 ,5.13 , 6.62,,5.82 ,4.95 , 6.43,,5.64 ,4.79 , 6.23,,5.47 ,4.63 , 6.07,
Mongolia,33.33 ,28.57 , 38.10,,33.87 ,29.03 , 40.32,,33.71 ,29.21 , 39.33,,32.00 ,27.20 , 36.80,,31.40 ,27.33 , 36.05,,24.77 ,21.56 , 27.98,,18.43 ,16.47 , 20.39,,14.79 ,13.03 , 16.90,,14.65 ,13.06 , 16.56,,13.99 ,12.24 , 15.45,,13.64 ,11.76 , 14.97,,12.56 ,11.08 , 14.04,,11.67 ,10.07 , 13.04,,10.71 ,9.42 , 11.99,,9.68 ,8.47 , 10.69,,8.48 ,7.32 , 9.25,,7.62 ,6.69 , 8.55,,8.06 ,6.99 , 8.78,,7.30 ,6.43 , 8.17,,6.81 ,5.96 , 7.50,,7.77 ,6.78 , 8.60,,7.23 ,6.27 , 8.04,,6.16 ,5.37 , 6.95,
Montenegro,16.33 ,10.20 , 20.41,,14.55 ,10.91 , 21.82,,14.29 ,11.11 , 20.63,,14.29 ,10.00 , 22.86,,13.75 ,10.00 , 22.50,,14.13 ,10.87 , 21.74,,14.15 ,10.38 , 20.75,,13.11 ,10.66 , 18.85,,13.77 ,10.87 , 17.39,,13.46 ,10.26 , 17.31,,13.14 ,9.71 , 16.57,,12.18 ,9.14 , 16.24,,11.36 ,8.18 , 15.45,,10.70 ,7.41 , 14.40,,10.19 ,6.79 , 13.21,,9.41 ,6.27 , 12.20,,8.41 ,5.83 , 11.33,,7.60 ,5.47 , 10.03,,6.88 ,4.87 , 9.17,,5.99 ,4.09 , 8.17,,5.22 ,3.39 , 7.31,,4.53 ,2.77 , 6.80,,3.67 ,1.96 , 6.36,
Morocco,14.69 ,12.54 , 17.83,,14.30 ,12.28 , 17.36,,13.82 ,11.94 , 16.70,,12.96 ,11.21 , 15.41,,12.05 ,10.52 , 14.12,,11.48 ,10.04 , 13.28,,10.79 ,9.53 , 12.45,,10.30 ,9.12 , 11.83,,9.87 ,8.75 , 11.47,,9.08 ,7.97 , 10.53,,8.57 ,7.50 , 10.03,,8.09 ,7.02 , 9.45,,7.16 ,6.12 , 8.51,,6.35 ,5.34 , 7.72,,5.82 ,4.83 , 7.13,,5.50 ,4.55 , 6.79,,5.08 ,4.17 , 6.32,,4.87 ,3.94 , 6.13,,4.74 ,3.86 , 6.04,,4.15 ,3.28 , 5.41,,3.90 ,3.03 , 5.18,,3.90 ,3.06 , 5.20,,3.50 ,2.77 , 4.66,
Mozambique,17.79 ,16.12 , 20.42,,16.52 ,15.00 , 18.74,,15.25 ,13.92 , 17.11,,14.17 ,13.07 , 15.75,,13.24 ,12.25 , 14.73,,12.57 ,11.67 , 13.94,,11.91 ,11.02 , 13.17,,10.94 ,10.08 , 12.17,,10.63 ,9.74 , 11.84,,10.19 ,9.36 , 11.39,,10.20 ,9.43 , 11.32,,9.52 ,8.80 , 10.71,,9.04 ,8.24 , 10.12,,8.58 ,7.80 , 9.67,,7.76 ,6.99 , 8.73,,7.23 ,6.45 , 8.16,,6.72 ,5.94 , 7.63,,6.15 ,5.34 , 7.00,,5.88 ,5.07 , 6.73,,5.66 ,4.78 , 6.56,,5.51 ,4.65 , 6.50,,4.92 ,4.08 , 5.85,,4.00 ,3.20 , 4.82,
Myanmar,15.62 ,13.90 , 17.47,,14.20 ,12.63 , 15.88,,12.89 ,11.46 , 14.39,,11.79 ,10.52 , 13.20,,10.90 ,9.72 , 12.15,,10.05 ,8.98 , 11.22,,9.32 ,8.32 , 10.39,,8.69 ,7.74 , 9.68,,8.03 ,7.14 , 8.91,,7.43 ,6.60 , 8.26,,7.05 ,6.26 , 7.85,,6.77 ,6.03 , 7.53,,6.53 ,5.82 , 7.25,,6.28 ,5.61 , 6.98,,5.96 ,5.32 , 6.62,,5.59 ,5.00 , 6.21,,5.18 ,4.63 , 5.76,,4.76 ,4.23 , 5.27,,4.35 ,3.87 , 4.82,,3.98 ,3.54 , 4.39,,3.75 ,3.33 , 4.13,,4.02 ,3.55 , 4.42,,3.96 ,3.49 , 4.35,
Namibia,12.98 ,11.81 , 14.44,,11.84 ,10.90 , 13.21,,10.97 ,10.08 , 12.24,,10.36 ,9.59 , 11.52,,9.70 ,8.93 , 10.81,,9.12 ,8.38 , 10.23,,8.02 ,7.40 , 9.08,,7.02 ,6.45 , 8.06,,6.42 ,5.84 , 7.41,,6.12 ,5.58 , 7.10,,5.83 ,5.24 , 6.79,,5.46 ,4.89 , 6.47,,5.35 ,4.70 , 6.31,,4.93 ,4.37 , 5.81,,4.56 ,4.00 , 5.46,,4.29 ,3.77 , 5.21,,4.18 ,3.60 , 5.08,,3.92 ,3.30 , 4.79,,3.62 ,3.00 , 4.33,,3.30 ,2.73 , 3.93,,2.88 ,2.35 , 3.45,,2.89 ,2.31 , 3.40,,2.61 ,2.09 , 3.12,
